gene bac body
100159232 9349 10360
100159233 0 0
100159234 3052 3444
100159235 403 678
100159237 657 934
100159238 1030 1004
100159241 35 141
100159243 32 503
100159244 821 4510
100159245 669 689
100159246 2 2
100159248 386 482
100159249 503 807
100159250 324 625
100159251 10 9
100159252 500 382
100159253 2176 2055
100159254 877 1140
100159255 2161 2156
100159256 253 459
100159257 2745 1641
100159258 1054 1263
100159259 2 13
100159260 411 812
100159261 601 787
100159262 2425 99
100159263 238 2110
100159264 178 468
100159265 1222 1548
100159268 673 550
100159271 152 210
100159273 1379 1274
100159274 300 565
100159275 748 1012
100159276 0 0
100159277 11617 19693
100159278 3100 3352
100159279 7400 16051
100159280 82 2169
100159282 3 60
100159283 11 105
100159285 49 44
100159286 40 773
100159287 211 509
100159289 0 9
100159291 510 607
100159292 152 153
100159293 237 201
100159296 376 474
100159297 295 235
100159298 809 600
100159299 483 549
100159302 1257 965
100159303 547 524
100159304 1852 1898
100159306 1167 1452
100159307 206 353
100159309 4744 3447
100159310 1032 1001
100159311 942 1318
100159313 68 832
100159314 594 739
100159315 40 2335
100159316 18 176
100159317 13688 4386
100159318 952 1002
100159320 323 352
100159321 27 1646
100159323 6 101
100159324 117 1016
100159325 13 4
100159326 647 2600
100159327 72 1167
100159328 844 893
100159329 686 780
100159330 24 264
100159331 1293 5373
100159332 56 20
100159333 5 38
100159334 617 841
100159336 1 0
100159337 1753 2486
100159338 380 750
100159339 324 388
100159342 1403 1107
100159344 585 1109
100159345 2252 3555
100159346 41 420
100159347 59 114
100159348 315 482
100159349 268 366
100159350 1391 1665
100159351 1438 5638
100159352 22 95
100159353 231 1151
100159355 887 88
100159356 240 335
100159357 1418 2915
100159359 7266 10228
100159360 13 13
100159361 301 1263
100159364 982 1060
100159365 0 0
100159366 39 50
100159367 25 222
100159368 244 893
100159369 433 541
100159370 2573 2249
100159371 863 1010
100159372 463 563
100159373 906 3123
100159374 262 286
100159375 17828 10634
100159378 53 39
100159379 467 494
100159380 58 647
100159381 3128 2656
100159382 751 831
100159383 1078 481
100159384 641 867
100159385 213 245
100159386 747 806
100159387 20 619
100159388 2 36
100159389 329 353
100159390 395 550
100159391 2607 2591
100159393 438 1008
100159394 1117 1855
100159395 1042 1571
100159396 686 995
100159398 390 425
100159399 889 682
100159400 1645 989
100159402 127 127
100159403 3135 3140
100159404 514 855
100159405 9 9
100159407 217 262
100159409 1818 3973
100159410 19091 19124
100159411 141140 110538
100159412 93 132
100159413 162 340
100159414 1333 1418
100159415 3 4
100159416 2384 2770
100159417 15 348
100159418 2115 2012
100159419 1287 1352
100159421 229 365
100159422 71 121
100159423 97 424
100159424 157 197
100159425 3572 4176
100159427 690 887
100159428 95 319
100159429 2474 1848
100159430 319 334
100159431 1426 1692
100159432 27 133
100159434 986 1519
100159435 59 539
100159439 1015 620
100159441 6041 4430
100159443 32 498
100159444 213 612
100159445 0 0
100159446 219 264
100159447 17 543
100159449 17934 16500
100159450 15 24
100159451 383 628
100159452 701 735
100159454 344 233
100159455 105 2239
100159456 2398 3415
100159458 167 229
100159459 1555 2126
100159460 551 663
100159461 2928 3220
100159462 6 17
100159463 106 147
100159465 114 156
100159466 441 428
100159467 0 0
100159468 0 0
100159469 2703 3495
100159470 609 949
100159471 511 1207
100159472 473 3522
100159475 13 9
100159476 2012 2696
100159477 269 249
100159478 38 509
100159479 2288 3377
100159480 5396 1582
100159481 86 129
100159482 354 1401
100159483 428 491
100159484 673 1054
100159485 6 30
100159487 97 111
100159488 5580 6337
100159489 521 329
100159490 30 239
100159491 1253 1854
100159492 55 253
100159493 277 197
100159494 189 336
100159495 818 995
100159498 222 242
100159499 1 46
100159500 1 4
100159501 772 585
100159502 83 983
100159503 1182 1387
100159504 0 0
100159505 468 636
100159506 35 180
100159507 652 740
100159508 195 716
100159509 1174 2171
100159510 313 342
100159512 0 0
100159513 3419 4876
100159514 488 843
100159515 16 183
100159516 0 0
100159518 54 195
100159519 130 909
100159520 7982 3799
100159521 570 778
100159522 5258 2102
100159523 804 2367
100159524 5525 4776
100159525 865 943
100159526 329 2255
100159527 285 7185
100159528 733 978
100159530 304 548
100159531 340 601
100159533 17 18
100159535 48 634
100159536 11726 10141
100159537 1872 672
100159540 814 798
100159541 2862 2106
100159542 696 1042
100159543 1495 1488
100159544 7613 6908
100159545 271 374
100159546 567 626
100159547 1147 2193
100159549 46 50
100159550 415 449
100159551 660 613
100159552 672 658
100159553 1100 1069
100159554 1186 1703
100159555 1655 2416
100159556 27 165
100159557 8 45
100159558 7 8
100159559 3008 4529
100159560 15297 13499
100159561 567 708
100159562 132 209
100159563 196 235
100159564 9633 9116
100159565 798 567
100159566 279 784
100159567 252 297
100159568 1065 1432
100159569 3311 2938
100159570 235 402
100159571 18718 13642
100159572 0 5
100159573 605 675
100159574 3952 4010
100159575 636 999
100159576 811 821
100159578 48 5
100159579 631 745
100159580 213 512
100159581 0 2
100159582 191 580
100159583 2042 2645
100159584 2 83
100159585 33068 38649
100159587 33 34
100159588 44 700
100159589 1331 2950
100159593 505 671
100159594 409 259
100159595 108 216
100159596 682 888
100159597 5682 10359
100159599 241 596
100159604 1 135
100159605 1873 1709
100159606 398 39
100159607 1526 2731
100159608 338 475
100159609 307 585
100159610 1743 2025
100159612 3439 36319
100159613 1290 5987
100159614 579 751
100159616 400 266
100159618 146 419
100159619 7163 6491
100159621 1472 2188
100159623 115 94
100159625 7 117
100159626 3453 3910
100159627 3439 762
100159628 9360 4273
100159629 8 189
100159630 510 474
100159631 1437 1733
100159632 1764 13629
100159633 2811 2450
100159637 333 882
100159638 496 746
100159639 0 0
100159640 313 522
100159641 591 941
100159642 168 293
100159643 10 22
100159644 839 1106
100159645 880 943
100159646 435 484
100159647 4157 77412
100159648 0 0
100159649 874 1139
100159650 3799 3717
100159651 370 467
100159652 60 110
100159653 255 64
100159654 7631 5587
100159655 5582 1186
100159656 14 330
100159657 1015 1506
100159658 453 605
100159659 0 0
100159660 887 1618
100159662 249 1996
100159663 25 340
100159664 15265 4045
100159666 102 81
100159667 11502 5474
100159668 155 2819
100159669 36 598
100159670 434 753
100159671 2169 2266
100159673 2070 1202
100159674 975 1301
100159675 1898 2969
100159676 42 356
100159678 187 200
100159679 18 21
100159680 409 811
100159681 158 357
100159682 316 557
100159683 0 0
100159684 440 579
100159685 563 5270
