gene trans1 trans2 trans3 trans4 trans5 trans6
ScZCZ4B_115.g2313 0 0 0 0 0 0
ScZCZ4B_11514.g13016 3 1 4 0 0 0
ScZCZ4B_11537.g1135 18 14 25 7 6 9
ScZCZ4B_1154.g18062 0 0 0 0 0 0
ScZCZ4B_1154.g18063 0 0 4 0 0 0
ScZCZ4B_1155.g4520 4 0 10 0 0 2
ScZCZ4B_1155.g4521 0 0 0 0 0 0
ScZCZ4B_11559.g1184 0 0 0 0 0 0
ScZCZ4B_11562.g1072 0 0 0 0 0 0
ScZCZ4B_1157.g4236 22 8 39 4 6 1
ScZCZ4B_11576.g7311 0 2 0 0 0 0
ScZCZ4B_11576.g7312 0 0 8 3 0 0
ScZCZ4B_116.g10775 103 54 181 19 33 18
ScZCZ4B_11621.g1182 41 14 113 13 25 10
ScZCZ4B_11622.g7144 0 0 0 0 0 0
ScZCZ4B_11632.g4392 0 0 0 0 0 0
ScZCZ4B_1167.g4447 0 0 0 0 0 0
ScZCZ4B_11688.g4141 4 4 18 0 0 0
ScZCZ4B_11702.g18094 20 3 59 12 5 4
ScZCZ4B_11706.g18077 6 0 0 0 0 0
ScZCZ4B_11730.g15212 0 0 3 0 0 0
ScZCZ4B_11739.g6912 2 0 0 2 0 0
ScZCZ4B_1174.g18335 8 4 6 7 3 2
ScZCZ4B_1175.g12874 6726 2592 7478 2753 6274 2515
ScZCZ4B_1175.g12875 78 115 149 262 252 125
ScZCZ4B_1176.g18093 2 0 0 0 0 2
ScZCZ4B_11762.g15145 10 9 21 0 0 0
ScZCZ4B_11767.g13139 2 0 4 0 0 2
ScZCZ4B_1177.g12949 367 79 566 127 164 66
ScZCZ4B_1177.g12950 5 1 4 6 0 2
ScZCZ4B_1177.g12951 0 0 0 0 0 0
ScZCZ4B_1177.g12952 27 4 63 6 6 5
ScZCZ4B_1177.g12953 0 2 12 2 6 2
ScZCZ4B_1178.g2705 0 0 0 0 0 0
ScZCZ4B_118.g1305 11 0 24 21 20 8
ScZCZ4B_118.g1306 0 0 0 0 0 0
ScZCZ4B_118.g1307 0 0 0 0 0 0
ScZCZ4B_11805.g4121 5 0 2 0 2 0
ScZCZ4B_1181.g1014 0 0 0 0 0 0
ScZCZ4B_11815.g6970 8 0 0 0 2 0
ScZCZ4B_1183.g1248 12 2 54 5 3 3
ScZCZ4B_11835.g7179 0 0 0 0 0 0
ScZCZ4B_11846.g7232 0 0 2 0 0 2
ScZCZ4B_11859.g18341 6 6 0 4 0 0
ScZCZ4B_1186.g4313 46 28 92 18 38 9
ScZCZ4B_1187.g7165 0 0 0 0 0 0
ScZCZ4B_119.g18334 128 27 63 24 62 25
ScZCZ4B_11912.g17999 18 13 44 6 1 4
ScZCZ4B_1194.g1265 0 2 8 2 0 0
ScZCZ4B_11950.g16686 0 2 2 0 2 0
ScZCZ4B_12.g15048 63 4 94 13 21 14
ScZCZ4B_1204.g4496 0 0 4 0 0 0
ScZCZ4B_1205.g15153 0 0 0 4 0 0
ScZCZ4B_12051.g2431 4 5 13 4 6 3
ScZCZ4B_12074.g4101 0 0 0 0 0 0
ScZCZ4B_1208.g13196 0 0 0 0 0 0
ScZCZ4B_1209.g2659 0 0 2 0 0 0
ScZCZ4B_12102.g6911 0 0 0 0 0 0
ScZCZ4B_12107.g12904 4 5 5 0 11 1
ScZCZ4B_1211.g6856 32 18 65 11 5 11
ScZCZ4B_1211.g6857 69 24 95 22 30 18
ScZCZ4B_1211.g6858 26 0 66 1 5 5
ScZCZ4B_12114.g2293 0 0 0 0 0 0
ScZCZ4B_12115.g4254 124 17 232 4 2 1
ScZCZ4B_12119.g18342 0 2 0 0 0 0
ScZCZ4B_1213.g7247 11 4 23 1 2 6
ScZCZ4B_12132.g4233 35 22 47 13 4 21
ScZCZ4B_1214.g1309 26 6 19 27 26 27
ScZCZ4B_12146.g1262 4 1 8 0 8 2
ScZCZ4B_122.g10764 10 6 25 5 8 10
ScZCZ4B_122.g10765 13 3 30 7 12 17
ScZCZ4B_122.g10766 212 101 398 118 161 161
ScZCZ4B_1221.g1189 2 0 0 0 0 0
ScZCZ4B_1223.g4175 0 0 0 0 0 0
ScZCZ4B_12231.g2691 0 0 0 0 0 0
ScZCZ4B_1224.g1192 16 11 0 3 12 2
ScZCZ4B_1224.g1193 385 118 669 102 228 170
ScZCZ4B_1224.g1194 14 5 39 0 0 10
ScZCZ4B_1224.g1195 0 0 0 0 0 0
ScZCZ4B_1224.g1196 746 187 1229 417 468 224
ScZCZ4B_12254.g10761 0 0 0 0 0 0
ScZCZ4B_1229.g4352 0 0 0 0 0 0
ScZCZ4B_12291.g9395 1 0 0 0 0 0
ScZCZ4B_123.g16688 0 0 0 0 0 0
ScZCZ4B_1230.g1150 0 0 5 1 2 8
ScZCZ4B_1232.g12932 25 12 52 8 9 6
ScZCZ4B_12338.g6897 7 0 8 0 4 0
ScZCZ4B_1236.g6949 19 5 30 1 2 11
ScZCZ4B_12360.g12905 4 0 4 0 0 0
ScZCZ4B_1237.g4614 0 0 0 0 0 0
ScZCZ4B_1239.g15144 0 0 0 2 0 0
ScZCZ4B_124.g13120 6 4 16 0 4 4
ScZCZ4B_124.g13121 0 0 0 0 0 0
ScZCZ4B_124.g13122 0 0 0 0 0 0
ScZCZ4B_12411.g12857 0 0 0 0 0 0
ScZCZ4B_1242.g4325 3 8 34 10 5 2
ScZCZ4B_12455.g12997 1 0 16 0 0 0
ScZCZ4B_1246.g1164 0 0 4 0 2 0
ScZCZ4B_1246.g1165 6 2 17 5 0 2
ScZCZ4B_1247.g4214 0 4 15 9 0 4
ScZCZ4B_12489.g4412 0 0 0 0 0 0
ScZCZ4B_12498.g13167 16 5 42 0 8 6
ScZCZ4B_125.g18160 0 0 2 0 0 1
ScZCZ4B_125.g18161 2 0 2 0 2 0
ScZCZ4B_12514.g1346 0 0 0 0 0 0
ScZCZ4B_1252.g4526 35 23 73 3 5 5
ScZCZ4B_12522.g10774 9 4 20 0 10 1
