gene male1 male2 female1 female2 asexual1 asexual2
100158873 146237 133915 31755 51226 17088 12659
100158874 950 749 794 2093 1611 2582
100158875 648 531 26 54 729 650
100158876 2053 1727 477 905 246 323
100158877 1157 1023 1085 1429 1098 1095
100158879 1 0 1 3 57 60
100158882 71 98 74 122 66 68
100158883 7232 5433 2171 4048 8100 7612
100158884 588 566 170 234 1465 1046
100158887 202 154 281 303 1048 576
100158888 779 642 66 66 671 341
100158890 1091 813 974 1560 1511 1274
100158892 2 2 1 0 5 10
100158893 0 0 0 0 0 0
100158897 348 208 326 357 386 356
100158898 4 8 0 1 6 2
100158899 175 154 23 21 1051 529
100158900 1405 1059 712 926 1697 1345
100158903 146 111 291 281 232 149
100158904 471 363 479 472 710 672
100158905 1045 720 396 665 1520 1659
100158906 187 207 776 1270 589 899
100158907 1224 992 1199 2203 2880 3716
100158908 1057 815 643 1595 1174 1743
100158909 776 618 477 579 682 628
100158910 1974 1326 1 1 0 1
100158911 1966 1561 1626 2525 2324 1707
100158912 22 20 1 1 12 8
100158913 424 409 340 631 653 868
100158914 228 273 10 11 8880 5560
100158915 85 56 44 106 134 146
100158916 892 805 1582 2081 1425 1033
100158918 915 616 593 654 996 755
100158919 589 486 364 514 1165 783
100158920 243 233 113 181 433 446
100158922 322 243 41 51 547 339
100158923 5279 4668 5655 5591 15210 10463
100158924 13 16 3 5 27 21
100158925 244 193 256 276 407 335
100158926 2599 2260 1909 3491 4161 3986
100158927 714 432 550 821 839 627
100158928 637 514 993 1476 2982 1897
100158929 111 70 7 19 41 22
100158930 123 109 7 12 519 382
100158931 1407 997 708 774 1997 1089
100158932 586 446 352 479 775 558
100158933 386 319 188 501 710 1075
100158934 475 407 387 391 821 612
100158935 5 6 6 14 13 8
100158936 285 246 179 215 304 281
100158937 186 175 644 1342 358 609
100158938 0 2 0 0 1 3
100158939 286 201 83 156 1393 1235
100158940 44 40 6 8 264 150
100158942 66 50 19 92 149 264
100158944 324 257 157 182 442 284
100158945 1045 761 634 951 1043 1064
100158946 19 19 83 131 554 669
100158947 493 439 27 116 107 161
100158948 281 191 612 585 894 693
100158949 14 7 23 38 3 4
100158950 64 52 5 4 160 92
100158951 209 178 164 258 329 432
100158952 398 301 274 339 373 455
100158953 178 158 581 814 403 429
100158954 1458 1107 1253 1777 2332 1605
100158955 0 2 1 0 126 106
100158956 1 0 0 0 0 0
100158957 1143 1050 781 923 1378 1156
100158958 30 14 24 35 847 540
100158959 24609 21104 3942 7945 6748 8852
100158962 794 566 244 318 404 430
100158963 162 99 11 22 572 436
100158964 236 196 117 257 252 336
100158965 1389 1127 2471 2842 4364 2789
100158966 525 437 693 781 1008 828
100158967 2530 2392 4037 3725 18241 8887
100158969 5 2 1 2 4 3
100158970 195 140 723 1282 427 612
100158972 2268 1661 556 1226 2474 2914
100158973 305 274 337 571 396 506
100158974 18 16 10 12 3657 2786
100158976 919 724 777 1167 1133 1652
100158977 387 273 56 54 57 45
